date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:01	1316191/1316191	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/SuccessStory-05.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/SuccessStory-05.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:06	321346/321346	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/Agent-07.jpg	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/Agent-07.jpg	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:07	2985781/2985781	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/SuccessStory-07.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/SuccessStory-07.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:07	2542/2542	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/2.0/icon/home-1.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-1.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:08	1907662/1907662	---M-Z	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/service/Agent-02.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/service/Agent-02.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:09	5190/5190	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/2.0/icon/home-3.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-3.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:09	7428/7428	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/2.0/icon/home-4.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-4.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:09	5886/5886	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/icon/home-1_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-1_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:09	8446/8446	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/2.0/icon/home-2.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-2.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:09	11760/11760	---MC-	200	added ('OK')	image/png	date:Tue,%2026%20Nov%202024%2005:33:43%20GMT	https://tb.co.th/images/2.0/icon/home-2_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-2_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:09	6403/6403	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/icon/home-3_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-3_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:10	10774/10774	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/images/2.0/icon/home-4_wh.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/home-4_wh.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:10	2870/2870	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2011:55:33%20GMT	https://tb.co.th/images/2.0/icon/singlehome.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/singlehome.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:10	3191/3191	---M--	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/images/2.0/icon/townhome.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/townhome.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:10	2306/2306	---MC-	200	added ('OK')	image/png	date:Tue,%2026%20Nov%202024%2005:33:43%20GMT	https://tb.co.th/images/2.0/icon/condo.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/condo.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
14:21:11	2214/2214	---MC-	200	added ('OK')	image/png	date:Tue,%2020%20Aug%202024%2016:53:36%20GMT	https://tb.co.th/images/2.0/icon/shophouse.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/images/2.0/icon/shophouse.png	(from https://tb.co.th/_/0fa729595ee90e362ab4.css)
